true,3485
false,1663

byte 00 00100011
true,494
false,1213
true,496
false,1212
true,496
false,361
true,506
false,360
true,506
false,363
true,502
false,1212
true,492
false,374
true,492
false,374

byte 01 11001011
true,492
false,1217
true,490
false,1218
true,488
false,378
true,490
false,1218
true,491
false,374
true,493
false,375
true,498
false,1207
true,496
false,1212

byte 02 00100110
true,498
false,360
true,506
false,1200
true,514
false,1205
true,492
false,373
true,492
false,374
true,492
false,1217
true,491
false,375
true,489
false,377

byte 03 00000001
true,489
false,1219
true,492
false,372
true,496
false,370
true,496
false,371
true,495
false,370
true,498
false,366
true,500
false,364
true,503
false,360

byte 04 00000000
true,507
false,361
true,503
false,368
true,497
false,371
true,494
false,372
true,494
false,372
true,492
false,375
true,480
false,388
true,485
false,373

byte 05 00100100
true,497
false,375
true,489
false,378
true,488
false,1220
true,491
false,373
true,495
false,372
true,495
false,1213
true,495
false,372
true,484
false,373

byte 06 00000011
true,500
false,1208
true,504
false,1212
true,495
false,372
true,492
false,374
true,491
false,376
true,490
false,375
true,489
false,377
true,482
false,374

byte 07 00001000
true,499
false,375
true,491
false,378
true,491
false,375
true,492
false,1216
true,493
false,372
true,495
false,372
true,495
false,365
true,501
false,364

byte 08 00000000
true,502
false,365
true,504
false,358
true,506
false,361
true,504
false,371
true,481
false,389
true,500
false,359
true,495
false,376
true,490
false,375

byte 09 00000000
true,490
false,377
true,489
false,376
true,491
false,376
true,488
false,378
true,489
false,378
true,490
false,375
true,492
false,375
true,491
false,375

byte 10 00000000
true,493
false,372
true,494
false,370
true,496
false,365
true,503
false,365
true,502
false,361
true,506
false,350
true,501
false,374
true,514
false,359

byte 11 00000000
true,495
false,374
true,491
false,376
true,491
false,375
true,489
false,377
true,490
false,377
true,489
false,377
true,487
false,378
true,489
false,378

byte 12 00000000
true,490
false,376
true,491
false,375
true,492
false,374
true,493
false,373
true,493
false,373
true,494
false,367
true,500
false,366
true,501
false,368

byte 13 01000100
true,485
false,374
true,514
false,375
true,480
false,1216
true,489
false,377
true,489
false,376
true,489
false,377
true,489
false,1220
true,486
false,380

true,479
false,20000
